mu,omega,alpha[1],beta[1]
0.000603184451384714,0.38965502380217276,0.3636151329413862,0.630413448705671
-0.03635210354893922,0.49555367496882385,0.27752011613039945,0.6490783773009066
-0.05369149856222766,0.721988167391923,0.37670647212109803,0.5357857602327851
-0.022048976332785842,0.4654413666444446,0.38467704849399,0.6039844410958245
0.004148316077905353,0.5256574276041062,0.41389377041708625,0.5634142883490791
-0.02195555493729494,0.529149619826478,0.33478737182105484,0.634730130061629
-0.03623832028671213,0.5341017180657821,0.3890466067684349,0.5762795796577158
-0.032446570764183676,0.49838536178412174,0.36851155515254286,0.6185811033222304
-0.03164108458610522,0.4595836198898139,0.2895920590478482,0.6824203424272044
-0.04439046315032999,0.38123284898519416,0.3177928319930129,0.6424843767915087
-0.03923725081775645,0.5484134290217443,0.39681317046508735,0.5515585245454978
-0.008733181191859942,0.5752062810081713,0.363180063776197,0.586335573849186
0.02322300208227561,0.42835129197486843,0.340898331548202,0.639344032102607
-0.03262095568310035,0.4676019773696116,0.26155577723452755,0.6881630543337403
-0.06368562192971873,0.36840824679803635,0.4072871898023108,0.5864935112283918
-0.019069425262808113,0.57509842416716,0.3408248177180814,0.5637279380107035
0.041531409596452976,0.5669587020743148,0.34851388173702025,0.6371117068838827
-0.03919025705358263,0.4571407220864717,0.32427517221500385,0.6044707990175696
-0.01803342505057382,0.42392105753164616,0.29263818473281716,0.6430458172442771
-0.0029995532172020067,0.5116967722797424,0.3774685215214314,0.6032963679471295
-0.02474267231579616,0.5859363383505889,0.42290997296487687,0.555358652548513
-0.01943319518836035,0.4235306121416719,0.29631389099969696,0.6905878069840353
0.016633319623732067,0.5915045180943332,0.31877162387188007,0.5817847334484719
-0.0025787915239648355,0.6037409634945232,0.35252866256776605,0.5799802125854886
-0.0282492753153145,0.5027035455337883,0.3253812041592795,0.6144103206289837
-0.06928474611248094,0.4322199957072883,0.3127702757620974,0.6377891789257534
-0.03334696220738576,0.7133267066712494,0.29989057537246944,0.6249178872344234
0.0029779545954474376,0.5215902737891759,0.3849996921430028,0.5687329471110512
-0.005517040919458319,0.5704484017936853,0.36828046685489424,0.5615201183979498
-0.025961866049184622,0.23122364761986008,0.3188618305680212,0.6788485699274688
-0.02695422807480003,0.5101232569353746,0.37469842039407025,0.5822241724693594
-0.024234626896590068,0.44856962395940236,0.377897024589038,0.6150428393037268
-0.0032511992743372055,0.4605017275203663,0.4337710144421275,0.5616984789947269
-0.00692829644472702,0.4953790323639028,0.2736009747796499,0.6957533087510721
-0.03597844335778875,0.6414207802367302,0.341454826762959,0.5587399885897524
-0.0005379822428382766,0.42665401243562157,0.26640672058361026,0.7190427600136206
-0.03213364829005017,0.48204183015482205,0.26147146605580895,0.7217292349130964
-0.030872125848289793,0.825534902848915,0.3962064706579147,0.5063217179260053
-0.015305403847572173,0.5137636572677581,0.3236721447082621,0.5932810845823531
-0.009189026675011466,0.34001910454584156,0.37480958907596884,0.6078637244207649
-0.05185047289068854,0.40034446003287616,0.37958032343193904,0.6041947931581836
-0.003043765222079298,0.5080582379654011,0.37988111484314185,0.5786655077495318
-0.0037124965559971242,0.5119765932270844,0.46647861609720026,0.5088974158338624
0.029455831793434153,0.5874231575474492,0.39408523190171224,0.5650134165358394
-0.021207356627562318,0.4615525576542298,0.33485009756393663,0.6351515853658127
