portfolio,metric,metric_label,value
"Test - MACD(6,26,12)",avg_drawdown_duration_days,Average drawdown duration days,33.416666666666664
Test - Buy & Hold,avg_drawdown_duration_days,Average drawdown duration days,27.0
Full Data - Ito,win_rate,Daily win rate,0.09818941504178273
"Full Data - MACD(6,26,12)",win_rate,Daily win rate,0.22527855153203344
Full Data - Buy & Hold,win_rate,Daily win rate,0.4449860724233983
Test - Ito,win_rate,Daily win rate,0.16705336426914152
"Test - MACD(6,26,12)",win_rate,Daily win rate,0.25754060324825984
Test - Buy & Hold,win_rate,Daily win rate,0.4709976798143852
Full Data - Ito,loss_rate,Daily loss rate,0.08774373259052924
"Full Data - MACD(6,26,12)",loss_rate,Daily loss rate,0.2600974930362117
Full Data - Buy & Hold,loss_rate,Daily loss rate,0.42409470752089135
Test - Ito,loss_rate,Daily loss rate,0.1334106728538283
"Test - MACD(6,26,12)",loss_rate,Daily loss rate,0.27494199535962877
Test - Buy & Hold,loss_rate,Daily loss rate,0.41879350348027844
Full Data - Ito,avg_daily_return,Average daily return,0.0007791273710445869
"Full Data - MACD(6,26,12)",avg_daily_return,Average daily return,0.0009870307176286675
Full Data - Buy & Hold,avg_daily_return,Average daily return,0.0012789672426099807
Test - Ito,avg_daily_return,Average daily return,0.0018471036811668667
"Test - MACD(6,26,12)",avg_daily_return,Average daily return,0.002008330469493804
Test - Buy & Hold,avg_daily_return,Average daily return,0.002733729712819821
Full Data - Ito,median_daily_return,Median daily return,0.0
"Full Data - MACD(6,26,12)",median_daily_return,Median daily return,0.0
Full Data - Buy & Hold,median_daily_return,Median daily return,0.0
Test - Ito,median_daily_return,Median daily return,0.0
"Test - MACD(6,26,12)",median_daily_return,Median daily return,0.0
Test - Buy & Hold,median_daily_return,Median daily return,0.0
Full Data - Ito,best_day,Best day,0.06999999999999984
"Full Data - MACD(6,26,12)",best_day,Best day,0.06999999999999984
Full Data - Buy & Hold,best_day,Best day,0.06999999999999984
Test - Ito,best_day,Best day,0.06999999999999984
"Test - MACD(6,26,12)",best_day,Best day,0.06999999999999984
Test - Buy & Hold,best_day,Best day,0.06999999999999984
Full Data - Ito,worst_day,Worst day,-0.07044245241257191
"Full Data - MACD(6,26,12)",worst_day,Worst day,-0.07009443861490028
Full Data - Buy & Hold,worst_day,Worst day,-0.07009443861490028
Test - Ito,worst_day,Worst day,-0.07003642384105951
"Test - MACD(6,26,12)",worst_day,Worst day,-0.06999999999999995
Test - Buy & Hold,worst_day,Worst day,-0.06999999999999995
Full Data - Ito,skewness,Skewness,0.8350964693380437
"Full Data - MACD(6,26,12)",skewness,Skewness,0.9709079220607117
Full Data - Buy & Hold,skewness,Skewness,0.3585763309259934
Test - Ito,skewness,Skewness,0.4717380955343468
"Test - MACD(6,26,12)",skewness,Skewness,0.7889120627892274
Test - Buy & Hold,skewness,Skewness,0.32163646526940737
Full Data - Ito,excess_kurtosis,Excess kurtosis,17.50561548684113
"Full Data - MACD(6,26,12)",excess_kurtosis,Excess kurtosis,9.075279866982582
Full Data - Buy & Hold,excess_kurtosis,Excess kurtosis,3.3035971541523335
Test - Ito,excess_kurtosis,Excess kurtosis,6.244892513578879
"Test - MACD(6,26,12)",excess_kurtosis,Excess kurtosis,5.605516394762445
Test - Buy & Hold,excess_kurtosis,Excess kurtosis,1.8352160322353757
Full Data - Ito,var_95_daily,Daily VaR 95%,-0.006933789954337925
"Full Data - MACD(6,26,12)",var_95_daily,Daily VaR 95%,-0.018196912289870203
Full Data - Buy & Hold,var_95_daily,Daily VaR 95%,-0.028149726757995524
Test - Ito,var_95_daily,Daily VaR 95%,-0.024529584847810516
"Test - MACD(6,26,12)",var_95_daily,Daily VaR 95%,-0.0228540688575899
Test - Buy & Hold,var_95_daily,Daily VaR 95%,-0.03561931185278555
Full Data - Ito,cvar_95_daily,Daily CVaR 95%,-0.027407664500356452
"Full Data - MACD(6,26,12)",cvar_95_daily,Daily CVaR 95%,-0.03316621866322264
Full Data - Buy & Hold,cvar_95_daily,Daily CVaR 95%,-0.046552540748750385
Test - Ito,cvar_95_daily,Daily CVaR 95%,-0.0467504937832463
"Test - MACD(6,26,12)",cvar_95_daily,Daily CVaR 95%,-0.04165193186000282
Test - Buy & Hold,cvar_95_daily,Daily CVaR 95%,-0.05623255344078799
Full Data - Ito,var_99_daily,Daily VaR 99%,-0.042481045102447976
"Full Data - MACD(6,26,12)",var_99_daily,Daily VaR 99%,-0.04573979477611941
Full Data - Buy & Hold,var_99_daily,Daily VaR 99%,-0.06877845980455136
Test - Ito,var_99_daily,Daily VaR 99%,-0.06951025359012164
"Test - MACD(6,26,12)",var_99_daily,Daily VaR 99%,-0.06914557141506769
Test - Buy & Hold,var_99_daily,Daily VaR 99%,-0.06956072373169152
Full Data - Ito,cvar_99_daily,Daily CVaR 99%,-0.06145502135746933
"Full Data - MACD(6,26,12)",cvar_99_daily,Daily CVaR 99%,-0.060765694855833045
Full Data - Buy & Hold,cvar_99_daily,Daily CVaR 99%,-0.06957806088750076
Test - Ito,cvar_99_daily,Daily CVaR 99%,-0.06978771834689322
"Test - MACD(6,26,12)",cvar_99_daily,Daily CVaR 99%,-0.06966941508258817
Test - Buy & Hold,cvar_99_daily,Daily CVaR 99%,-0.0697897939364241
Full Data - Ito,profit_factor,Profit factor,1.5389826148653583
"Full Data - MACD(6,26,12)",profit_factor,Profit factor,1.3440124745757855
Full Data - Buy & Hold,profit_factor,Profit factor,1.2192775283005104
Test - Ito,profit_factor,Profit factor,1.6128043835494188
"Test - MACD(6,26,12)",profit_factor,Profit factor,1.547844820103511
Test - Buy & Hold,profit_factor,Profit factor,1.3997406237721342
Full Data - Ito,avg_win,Average winning day,0.02265701778707112
"Full Data - MACD(6,26,12)",avg_win,Average winning day,0.017117484055732594
Full Data - Buy & Hold,avg_win,Average winning day,0.015981643752076474
Test - Ito,avg_win,Average winning day,0.029100193678337778
"Test - MACD(6,26,12)",avg_win,Average winning day,0.02203227415459098
Test - Buy & Hold,avg_win,Average winning day,0.020323854944043034
Full Data - Ito,avg_loss,Average losing day,-0.01647470319965874
"Full Data - MACD(6,26,12)",avg_loss,Average losing day,-0.011031137835380794
Full Data - Buy & Hold,avg_loss,Average losing day,-0.013753158287666562
Test - Ito,avg_loss,Average losing day,-0.022593256665346093
"Test - MACD(6,26,12)",avg_loss,Average losing day,-0.013333265812723791
Test - Buy & Hold,avg_loss,Average losing day,-0.016329667852716858
Full Data - Ito,payoff_ratio,Payoff ratio,1.3752610600924478
"Full Data - MACD(6,26,12)",payoff_ratio,Payoff ratio,1.5517423779105286
Full Data - Buy & Hold,payoff_ratio,Payoff ratio,1.1620344518544772
Test - Ito,payoff_ratio,Payoff ratio,1.288003500751272
"Test - MACD(6,26,12)",payoff_ratio,Payoff ratio,1.6524289295699648
Test - Buy & Hold,payoff_ratio,Payoff ratio,1.2445969585757153
Full Data - Ito,omega_ratio_0,"Omega ratio, threshold 0",1.5389826148653583
"Full Data - MACD(6,26,12)",omega_ratio_0,"Omega ratio, threshold 0",1.3440124745757855
Full Data - Buy & Hold,omega_ratio_0,"Omega ratio, threshold 0",1.2192775283005104
Test - Ito,omega_ratio_0,"Omega ratio, threshold 0",1.6128043835494188
"Test - MACD(6,26,12)",omega_ratio_0,"Omega ratio, threshold 0",1.547844820103511
Test - Buy & Hold,omega_ratio_0,"Omega ratio, threshold 0",1.3997406237721342
Full Data - Ito,beta_to_benchmark,Beta to buy-and-hold,0.3566317309290277
"Full Data - MACD(6,26,12)",beta_to_benchmark,Beta to buy-and-hold,0.528604325037385
Full Data - Buy & Hold,beta_to_benchmark,Beta to buy-and-hold,
Test - Ito,beta_to_benchmark,Beta to buy-and-hold,0.5555418934598152
"Test - MACD(6,26,12)",beta_to_benchmark,Beta to buy-and-hold,0.5774470417778926
Test - Buy & Hold,beta_to_benchmark,Beta to buy-and-hold,
Full Data - Ito,alpha_annual,Annual alpha,0.08139778151678806
"Full Data - MACD(6,26,12)",alpha_annual,Annual alpha,0.07836270160418111
Full Data - Buy & Hold,alpha_annual,Annual alpha,
Test - Ito,alpha_annual,Annual alpha,0.08275737967549583
"Test - MACD(6,26,12)",alpha_annual,Annual alpha,0.10829607611902897
Test - Buy & Hold,alpha_annual,Annual alpha,
Full Data - Ito,correlation_to_benchmark,Correlation to benchmark,0.5962961997299704
"Full Data - MACD(6,26,12)",correlation_to_benchmark,Correlation to benchmark,0.7265781470283397
Full Data - Buy & Hold,correlation_to_benchmark,Correlation to benchmark,
Test - Ito,correlation_to_benchmark,Correlation to benchmark,0.7436345638440119
"Test - MACD(6,26,12)",correlation_to_benchmark,Correlation to benchmark,0.7585585626916019
Test - Buy & Hold,correlation_to_benchmark,Correlation to benchmark,
Full Data - Ito,tracking_error,Tracking error,0.2609834046313552
"Full Data - MACD(6,26,12)",tracking_error,Tracking error,0.22337461025793987
Full Data - Buy & Hold,tracking_error,Tracking error,
Test - Ito,tracking_error,Tracking error,0.2691511492880988
"Test - MACD(6,26,12)",tracking_error,Tracking error,0.2623137546072423
Test - Buy & Hold,tracking_error,Tracking error,
Full Data - Ito,information_ratio,Information ratio,-0.4826347016677173
"Full Data - MACD(6,26,12)",information_ratio,Information ratio,-0.3293481036646867
Full Data - Buy & Hold,information_ratio,Information ratio,
Test - Ito,information_ratio,Information ratio,-0.8301274602301093
"Test - MACD(6,26,12)",information_ratio,Information ratio,-0.6968777126912782
Test - Buy & Hold,information_ratio,Information ratio,
Full Data - Ito,active_return_annual,Annual active return,-0.12595964763447928
"Full Data - MACD(6,26,12)",active_return_annual,Annual active return,-0.07356800429529096
Full Data - Buy & Hold,active_return_annual,Annual active return,
Test - Ito,active_return_annual,Annual active return,-0.22342975997654446
"Test - MACD(6,26,12)",active_return_annual,Annual active return,-0.18280060931815625
Test - Buy & Hold,active_return_annual,Annual active return,
Full Data - Ito,up_capture,Up capture,0.312358505629488
"Full Data - MACD(6,26,12)",up_capture,Up capture,0.5407961108209355
Full Data - Buy & Hold,up_capture,Up capture,
Test - Ito,up_capture,Up capture,0.5074150695595282
"Test - MACD(6,26,12)",up_capture,Up capture,0.5917922408912887
Test - Buy & Hold,up_capture,Up capture,
Full Data - Ito,down_capture,Down capture,0.24688314659583135
"Full Data - MACD(6,26,12)",down_capture,Down capture,0.48922991468244015
Full Data - Buy & Hold,down_capture,Down capture,
Test - Ito,down_capture,Down capture,0.4399864418873828
"Test - MACD(6,26,12)",down_capture,Down capture,0.5341778804376974
Test - Buy & Hold,down_capture,Down capture,
Full Data - Ito,trades,Trades,50.0
"Full Data - MACD(6,26,12)",trades,Trades,122.0
Full Data - Buy & Hold,trades,Trades,
Test - Ito,trades,Trades,15.0
"Test - MACD(6,26,12)",trades,Trades,36.0
Test - Buy & Hold,trades,Trades,
Full Data - Ito,trade_win_rate,Trade win rate,0.54
